Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cyprus,CYP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.838097364,2.541045775,1.383603443,3.630815343,3.353752826,2.981292304,2.88407631,1.07653062,-4.610633401,-1.280429629,-2.125886766,-4.34671215,-5.580070362,-0.219240256,2.544489347,4.332535438,3.501636506,2.745155679,
Czech Republic,CZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.296140656,1.848772611,3.632645492,4.874640468,6.386207214,6.564559093,4.988202194,1.834145074,-5.343397792,1.975868191,1.567627262,-0.938553682,-0.51667508,2.607037045,5.102415766,2.253976554,4.075766346,2.65491944,
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.526794804,-0.36611274,-0.768486532,1.21188534,0.779058121,3.93175423,3.121878224,1.154421594,-5.457900872,4.338691916,5.868556631,0.231212503,0.154547998,1.800420038,0.862787538,1.408102174,2.082807721,1.195762891,
Djibouti,DJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,5.226585759,5.872971441,5.178749081,3.409086547,3.82998552,
Dominica,DMA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.078583101,-3.073764728,5.95437673,2.637800831,0.361061904,4.467846562,6.238084028,7.072344204,-1.203234816,0.634192937,-0.277141507,-1.127103114,-1.07087791,4.346562989,-2.825077306,2.378153301,-6.996372838,2.026131376,
Denmark,DNK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.462534318,0.145880704,0.11735814,2.40323402,2.055110532,3.572063427,0.462731525,-1.094842118,-5.414013998,1.419486593,0.920393696,-0.149916083,0.513424412,1.105433472,1.622165585,2.443369549,1.381821734,1.817932898,
Dominican Republic,DOM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.942868806,2.981578814,-2.742890771,1.151470008,7.950955381,7.736305254,6.033694068,1.90860341,-0.304633347,7.01675047,1.892348699,1.499963281,3.650787229,5.818809908,5.715425772,5.468635467,3.517924002,5.834559566,
Algeria,DZA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.659659532,4.262078601,5.840908374,2.934503756,4.438277124,0.214819131,1.808249405,0.738171149,-0.13466755,1.746776463,0.980204694,1.401796705,0.761674962,1.710449516,1.6004783,1.104567921,-0.750499558,-0.615183264,
East Asia & Pacific (excluding high income),EAP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.719073512,6.911048942,7.81729525,8.059728334,8.845201368,9.931967905,11.32995824,7.646959272,6.924306998,8.998397117,7.696962483,6.734836788,6.425644332,5.984981954,5.747387285,5.602326505,5.69708405,5.60584879,
Early-demographic dividend,EAR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.764105827,-0.135731769,3.055795375,4.970285024,4.40798967,4.473474466,4.201916993,1.85618188,-0.903888601,4.574193851,3.417534153,2.739052697,2.828767274,2.565643669,2.776631483,2.571745639,2.730515519,2.181067159,
East Asia & Pacific,EAS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.757596508,2.734822297,3.441210201,4.378433899,4.27161931,4.777065478,5.719481249,2.795394867,0.684877204,6.332407835,3.914916702,3.980911303,4.047314096,3.432764688,3.439791109,3.348453703,3.882894684,3.570549255,
Europe & Central Asia (excluding high income),ECA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.676319754,5.566220904,6.594287617,8.293975281,7.149134324,8.010192459,7.500960067,4.139981608,-6.336209299,4.537190018,5.450121969,3.120609354,3.394576277,1.614800517,0.206147942,1.135475026,3.45111192,2.336669836,
Europe & Central Asia,ECS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.155351317,1.508623205,1.564062079,2.941946203,2.465663964,3.654950265,3.308020572,0.628867256,-4.829912435,2.230017626,2.142472662,-0.1132067,0.421404337,1.339812049,1.556190615,1.457807382,2.353187371,1.762984409,
Ecuador,ECU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.134650214,2.284687206,0.984821248,6.4066799,3.543853785,2.669304909,0.494779993,4.607050249,-1.058188534,1.892927572,6.221051678,4.070252971,3.387280468,2.198941227,-1.507585123,-2.898024887,0.573877117,-0.397089903,
"Egypt, Arab Rep.",EGY,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.585498112,0.481792714,1.293201932,2.203147324,2.602220204,4.967392881,5.22829914,5.267160095,2.740072921,3.080864616,-0.363937291,-0.012959637,-0.105957426,0.61685323,2.093722196,2.132012009,2.025577858,3.194431298,
Euro area,EMU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.819859587,0.465063696,0.154685806,1.742773283,1.161399478,2.745783241,2.464216979,-0.06844885,-4.810557953,1.893332953,1.908385486,-1.110195111,-0.590879239,1.052251232,1.792871964,1.586052361,2.377628288,1.715357135,
