City,Country,Date,Humidity,Lat,Lng,Max Temp,Min Temp,Wind Speed
Manga,BF,1584367886,15,11.66,-1.07,104.45,104.45,6.96
Pisco,PE,1584367833,30,-13.7,-76.22,73.0,71.6,6.93
São Sebastião,BR,1584367890,85,-23.76,-45.41,79.25,79.25,10.58
Salta,AR,1584367893,88,-24.79,-65.41,68.0,66.2,2.24
Mercedes,AR,1584367895,61,-34.65,-59.43,73.99,69.01,1.99
San Vicente de Cañete,PE,1584367897,83,-13.08,-76.38,74.21,74.21,7.49
Boca da Mata,BR,1584367899,78,-9.65,-36.21,80.6,80.6,5.82
Calbuco,CL,1584367901,93,-41.77,-73.13,55.4,55.4,3.36
Várzea da Palma,BR,1584367903,60,-17.6,-44.73,80.33,80.33,5.01
San Miguel,SV,1584367905,61,13.48,-88.18,78.8,78.8,2.24
Grand-Santi,GF,1584367907,40,4.25,-54.38,93.83,93.83,4.23
Soure,BR,1584367910,89,-0.72,-48.52,77.81,77.81,6.2
Canutama,BR,1584367912,60,-6.53,-64.38,86.27,86.27,2.53
São Joaquim,BR,1584367914,92,-28.29,-49.93,70.61,70.61,2.62
Itamarandiba,BR,1584367916,55,-17.86,-42.86,79.97,79.97,3.36
Puerto Madryn,AR,1584367767,15,-42.77,-65.04,82.85,82.85,16.24
Goya,AR,1584367920,46,-29.14,-59.26,86.09,86.09,4.65
Camopi,GF,1584367922,52,3.17,-52.32,88.79,88.79,4.09
Manacapuru,BR,1584367868,79,-3.3,-60.62,84.2,84.2,14.99
Centenário do Sul,BR,1584367927,59,-22.82,-51.6,84.47,84.47,6.26
Minador do Negrão,BR,1584367929,50,-9.31,-36.86,88.97,88.97,6.08
Jaguaribe,BR,1584367931,63,-5.89,-38.62,85.73,85.73,2.33
Arauco,CL,1584367933,77,-37.25,-73.32,59.0,59.0,4.7
Maués,BR,1584367936,52,-3.38,-57.72,88.97,88.97,4.14
Villa Bruzual,VE,1584367938,28,9.33,-69.12,93.11,93.11,8.48
Osorno,CL,1584367940,93,-40.57,-73.15,53.6,53.6,0.31
Forquilhinha,BR,1584367942,83,-28.75,-49.47,78.71,78.71,11.52
Santa Isabel Rio Negro,BR,1584367944,57,-0.41,-65.02,88.79,88.79,4.09
São Gabriel da Cachoeira,BR,1584367946,94,-0.13,-67.09,78.8,78.8,3.36
Vilhena,BR,1584367948,78,-12.74,-60.15,78.8,78.8,6.93
Mazagão,BR,1584367951,83,-0.12,-51.29,84.2,84.2,3.36
Paso de los Toros,UY,1584367953,44,-32.82,-56.52,75.83,75.83,7.38
Pontes e Lacerda,BR,1584367955,54,-15.23,-59.34,89.33,89.33,3.53
Puerto Ayacucho,VE,1584367957,58,5.66,-67.62,82.4,82.4,17.22
Senador José Porfírio,BR,1584367959,73,-2.59,-51.95,81.41,81.41,3.11
Bahía Solano,CO,1584367961,80,6.23,-77.4,79.25,79.25,9.75
Tarata,BO,1584367963,63,-17.62,-66.02,66.2,66.2,4.7
Naviraí,BR,1584367966,46,-23.07,-54.19,94.01,94.01,2.51
Porangatu,BR,1584367968,84,-13.44,-49.15,81.41,81.41,2.44
Passagem Franca,BR,1584367970,97,-6.18,-43.78,72.41,72.41,4.5
Cururupu,BR,1584367972,80,-1.83,-44.87,79.97,79.97,4.85
Japura,ID,1584367974,95,-0.32,102.35,75.47,75.47,2.19
Los Andes,CL,1584367976,51,-32.83,-70.6,62.6,62.6,5.82
Ayacucho,PE,1584367980,63,-13.16,-74.22,62.6,62.6,1.12
Porto Velho,BR,1584367982,83,-8.76,-63.9,80.6,80.6,5.82
Pangoa,PE,1584367812,57,-12.12,-73.0,84.29,84.29,2.98
Minas,UY,1584367886,72,-34.38,-55.24,69.01,68.0,4.7
Bell Ville,AR,1584367988,88,-32.63,-62.69,68.0,68.0,10.51
São Bento,BR,1584367990,50,-6.28,-37.75,88.61,88.61,5.03
Bom Jesus da Lapa,BR,1584367992,61,-13.26,-43.42,82.4,82.4,2.24
Dolores,AR,1584367995,33,-36.31,-57.68,74.03,74.03,4.5
Carambeí,BR,1584367997,50,-24.92,-50.1,82.31,82.31,6.04
Poopó,BO,1584367999,49,-18.37,-66.97,50.0,50.0,5.53
Ipanguaçu,BR,1584368001,58,-5.5,-36.85,89.15,89.15,5.75
Ferreñafe,PE,1584368003,29,-6.64,-79.79,66.2,66.2,6.93
Jaciara,BR,1584368005,76,-15.97,-54.97,82.85,82.85,6.02
Santa Fé do Sul,BR,1584368007,78,-20.21,-50.93,83.03,83.03,8.57
Santa Vitória do Palmar,BR,1584368009,44,-33.52,-53.37,75.47,75.47,6.58
Centralina,BR,1584368011,75,-18.58,-49.2,76.91,76.91,8.34
Betanzos,ES,1584368014,71,43.28,-8.21,55.99,46.99,14.99
Alto Araguaia,BR,1584368016,70,-17.31,-53.22,80.69,80.69,8.46
Capitão Poço,BR,1584368018,95,-1.75,-47.06,73.49,73.49,3.27
Paragominas,BR,1584368020,90,-2.97,-47.48,76.01,76.01,3.65
Monte Patria,CL,1584368022,47,-30.69,-70.95,71.69,71.69,7.92
Tonantins,BR,1584368024,87,-2.87,-67.8,82.49,82.49,3.62
Nova Olinda do Norte,BR,1584368026,53,-3.89,-59.09,88.61,88.61,4.12
Simplício Mendes,BR,1584368029,98,-7.85,-41.91,72.41,72.41,0.47
Albina,SR,1584368031,46,5.5,-54.05,91.67,91.67,4.99
Sidrolândia,BR,1584368033,61,-20.93,-54.96,82.4,82.4,12.75
Presidente Prudente,BR,1584367843,51,-22.13,-51.39,84.2,84.2,2.24
Plácido de Castro,BR,1584368037,62,-10.34,-67.19,86.63,86.63,4.25
Santa Maria da Boa Vista,BR,1584368040,62,-8.81,-39.83,82.31,82.31,6.42
Resistencia,AR,1584368042,94,-27.46,-58.98,82.0,75.2,10.29
Padilla,CO,1584368044,69,3.22,-76.31,78.8,78.8,0.76
Joaíma,BR,1584368046,66,-16.65,-41.03,79.61,79.61,4.36
Rio Brilhante,BR,1584368048,47,-21.8,-54.55,91.85,91.85,3.74
Miraflores,MX,1584368050,71,19.22,-98.81,66.2,51.8,3.36
La Primavera,CO,1584368052,31,5.49,-70.41,91.13,91.13,13.56
Prado,BR,1584368054,71,-17.34,-39.22,81.41,81.41,5.66
São Domingos,BR,1584368056,67,-13.4,-46.32,82.85,82.85,2.53
Aripuanã,BR,1584368059,55,-9.17,-60.63,88.97,88.97,3.15
São Paulo de Olivença,BR,1584367907,90,-3.38,-68.87,82.31,82.31,3.36
Panguipulli,CL,1584368063,100,-39.63,-72.33,53.01,51.8,2.24
Luján,AR,1584368065,64,-34.57,-59.1,73.99,68.0,9.17
Machachi,EC,1584368067,71,-0.5,-78.57,57.2,55.0,5.82
Putina,PE,1584368069,62,-15.47,-69.43,49.73,49.73,4.88
Linhares,BR,1584367955,60,-19.39,-40.07,87.89,87.89,1.59
São João do Piauí,BR,1584368073,90,-8.36,-42.25,75.11,75.11,4.09
Junín,AR,1584368075,73,-34.58,-60.94,69.01,69.01,7.0
Calabozo,VE,1584368078,32,8.92,-67.43,92.21,92.21,6.91
Prainha,BR,1584368080,52,-1.8,-53.48,89.69,89.69,5.88
Upata,VE,1584368082,48,8.01,-62.4,86.27,86.27,5.48
General Pico,AR,1584368084,34,-35.66,-63.76,76.73,76.73,14.76
Barcelos,PT,1584367865,62,41.54,-8.62,57.99,55.99,24.16
San Fernando del Valle de Catamarca,AR,1584368088,74,-28.47,-65.79,73.0,62.01,3.0
São Sepé,BR,1584368090,88,-30.16,-53.57,69.8,69.8,12.75
Trelew,AR,1584368092,25,-43.25,-65.31,75.47,75.47,16.96
Tubarão,BR,1584368095,58,-28.47,-49.01,82.85,82.85,4.56
Oriximiná,BR,1584368097,79,-1.77,-55.87,79.79,79.79,5.03
Cartagena del Chairá,CO,1584367891,59,1.33,-74.84,87.53,87.53,2.89
Neuquén,AR,1584368101,68,-38.95,-68.06,66.2,66.2,8.05
Anagé,BR,1584368103,60,-14.61,-41.14,82.67,82.67,4.56
Zamora,EC,1584368105,78,-4.07,-78.96,71.6,71.6,5.82
Cobija,BO,1584368108,100,-11.03,-68.77,77.0,77.0,1.57
Santa Branca,BR,1584368110,57,-23.4,-45.88,82.4,80.6,2.24
Carahue,CL,1584368112,100,-38.7,-73.17,48.2,48.2,2.24
Colomi,BO,1584368114,63,-17.35,-65.87,66.2,66.2,4.7
Afuá,BR,1584368116,70,-0.16,-50.39,84.29,84.29,2.21
San Carlos,VE,1584368118,23,9.66,-68.58,97.97,97.97,3.98
Concepción del Uruguay,AR,1584368120,72,-32.48,-58.24,73.0,69.01,1.99
San Francisco,US,1584367843,93,37.77,-122.42,45.0,37.0,11.41
Mutatá,CO,1584368125,65,7.24,-76.44,80.51,80.51,3.47
Santa Barbara,US,1584368127,93,34.42,-119.7,57.2,45.0,19.46
